Branch,Bus_Type_ID,Customer,Predicted_spend,Training_spend,Testing_spend,Intercept,Slope,Churn_time,Error_slope_ratio
162,49,126581,0.0,43269.55174703988,0.0,14421.013689895304,-2243.124114486959,1.9290928108354828,-0.4740772230677134
375,49,206850,0.0,71241.05807247534,19036.92,13516.704836531118,-1420.5775620630188,5.013445325297349,-0.2406826513451617
374,49,121430,0.0,41988.840503186904,871.54,10180.358328330565,-1329.2165062248612,3.1594311891036044,-0.42540362834293877
156,49,269948,0.0,25170.220139229088,1233.7,5049.732123430404,-562.8244687794432,4.470731818690779,-0.9863353949005287
546,49,116915,5908.472396989127,50136.98910524479,15578.789999999999,7311.861626845953,-510.70282584921637,9.811543856212289,-0.5444862103624496
441,49,63367,80.16899637123697,27727.455374715195,27825.9,4970.761611728708,-488.4480165015974,5.681855609572786,-0.509441177255808
304,49,66158,0.0,7518.727114187179,12785.77,2389.4984016372223,-363.91682004855653,2.065584372029445,-0.3997889209929909
806,49,63709,0.0,11778.629189886788,10223.339999999998,2626.1022349453015,-321.83095910147165,3.6579593757412385,-0.39945238761740604
1329,49,24431,0.0,11226.574333950226,196.09,2407.569287181632,-285.5359675081354,3.9253756412413376,-0.24619695611517325
224,49,17801,0.0,14451.060384173781,14706.48,2693.9747982992026,-277.5263910848499,5.1982231597747415,-0.3818801748713295
1289,49,191287,0.0,5131.722590562991,59.95,1630.7451177978478,-248.34952416478862,2.0692429800657224,-0.28169535005632057
241,49,243614,98.26873765615666,13929.401883478244,1077.23,2446.0866375175947,-234.03254425994893,5.952735847640276,-0.43777775412943004
461,49,105527,0.0,5142.191693675264,0.0,1560.5780856324864,-232.5242036144355,2.206949224753332,-0.23893218201352864
647,49,87372,0.0,10166.769131752366,1010.61,1999.3843324277645,-218.37942650056178,4.663655565024021,-0.7595581412894319
283,49,53440,0.0,6223.311559854696,437.52000000000004,1564.9922774072438,-209.48024920483874,2.977661033423299,-0.20769358437243735
222,49,80794,0.0,7106.140513749554,603.2100000000002,1638.1020114674004,-206.1084355760989,3.4495827736648317,-0.48737998696493323
606,49,71074,0.0,5169.603620974318,0.0,1419.9019235126786,-200.6536803144993,2.571942099987223,-0.20978656909146715
166,49,13944,0.0,7504.898634520201,115.46,1652.8979485723173,-200.5351300267327,3.73378041518418,-0.8662740749211569
526,49,63375,109.43899899818042,11636.830355560494,8426.079999999998,2019.4193235653172,-190.16361955761508,6.1246475555581545,-0.28323413517044815
1092,49,73795,0.0,4750.250837650835,3575.2000000000007,1298.258210149044,-182.94069475199123,2.595765485055101,-0.28720395587979985
154,49,118159,0.0,5208.420543687296,0.0,1277.5513747139444,-168.1576267433811,3.1002503236233903,-0.2384636062066903
546,49,262489,70.92560406451524,9875.026642928966,17981.46,1733.0048747385208,-165.6671578768054,5.9488112306801,-0.7195518020570785
82,49,8438,14465.960785548832,30943.893818152148,82394.61,3839.747326701913,-165.63509886371074,18.6408998904531,-1.196538138949789
505,49,117196,0.0,4101.198615646244,574.75,1145.9935741103864,-163.52749167683598,2.5007308631989296,-0.19030674385867008
1449,49,104693,0.0,7579.288240226799,0.0,1468.9527090037616,-158.0053077735737,4.797017873561265,-0.3367342403981873
1432,49,108975,291.9094935547659,10833.28674760595,4948.139999999999,1780.4193220260117,-154.9090327256482,6.989217256519966,-0.7502165671381734
324,49,127611,0.0,5047.8579364792295,2060.09,1129.3447738313994,-138.790884485217,3.6315524722872157,-0.35911011347975397
607,49,206308,2744.4617721982027,15388.482641351215,7421.240000000001,2148.2954101142054,-135.43269910646308,11.39887603063053,-1.0461498108723326
607,49,129530,2006.1246010419984,13743.462016927018,16952.51,1959.245106093857,-129.9775343113678,10.57189385917463,-0.7184802979272848
547,49,112379,0.0,2993.0637285019934,586.77,876.2827307717523,-128.21696842701175,2.3383310378921824,-0.29156121172619354
168,49,127238,139253.4456436669,151183.12227644125,11034.31,15664.22420542721,-121.31377284068584,124.94472915408367,-4.078189464244732
507,49,185588,0.0,4749.77600478411,3421.5699999999997,1012.1319617312035,-119.36763583395391,3.991408407381605,-0.6418992544513797
607,49,255289,0.0,2777.2719810105045,0.0,795.2953238455083,-115.01513905432397,2.415019113922178,-0.25308422517747453
375,49,78459,93.23085836783173,7309.587534131874,23032.79,1246.9202023525909,-114.65809976431184,6.356163073158151,-0.5783306612320496
303,49,72097,0.0,5796.473308187057,218.70999999999998,1086.3284423514747,-112.59580256283755,5.129622396625715,-1.0481770219372226
303,49,241168,0.0,3821.661838337829,1740.5000000000002,873.3846296186689,-109.15965461886356,3.506111778291586,-0.3545206652483171
