Customers,Intercept,Coef,ABSCoef,Spend,Unseasoned,Predicted,linear_output,Actual,ABS_diff_unseasoned,ABS_diff_Predicted,ABS_diff_linear_output,Unseasoned_diff,Season_diff,linear_output_diff
128359,942.2787272727272,-1.078606060606066,1.078606060606066,9653.4,9266.389393939393,8792.611848179055,9724.381549354279,12150.830000000002,2884.440606060609,3358.2181518209472,2426.448450645723,0,0,1
70862,950.0796363636364,1.3989696969697063,1.3989696969697063,9601.94,9703.64696969697,9219.49140436152,16597.181202889522,5686.92,4016.7269696969706,3532.5714043615208,10910.261202889522,0,1,0
28897,3694.939272727272,-4.379393939393903,4.379393939393903,36827.32,36314.3806060606,31025.1190442583,20136.568406261897,44365.09,8050.709393939396,13339.970955741697,24228.5215937381,1,0,0
102462,1717.0032727272726,-5.577393939393929,5.577393939393929,17061.0,16361.310606060606,16467.42863107844,20321.205097521808,14724.38,1636.9306060606068,1743.0486310784418,5596.825097521809,1,0,0
92197,2168.9190909090908,-5.874242424242397,5.874242424242397,21424.85,20837.42575757576,20562.003784003376,18926.312220225234,23891.44,3054.0142424242404,3329.436215996622,4965.127779774764,1,0,0
93060,943.4352727272728,-6.0100606060606045,6.0100606060606045,9163.9,8562.89393939394,8204.476593600046,9147.120223680053,9121.38,558.4860606060593,916.9034063999534,25.740223680053532,0,0,1
17320,919.6007272727272,-6.213272727272738,6.213272727272738,8934.4,8295.082727272726,7751.581215123353,12510.67876484165,2575.1,5719.982727272725,5176.481215123353,9935.57876484165,0,1,0
103250,1192.571090909091,6.798424242424257,6.798424242424257,12560.82,12911.48242424243,12110.796677959828,12660.205996003584,4010.79,8900.692424242428,8100.006677959828,8649.415996003583,0,1,0
33332,1735.8043636363634,9.904363636363632,9.904363636363632,18387.48,18794.17636363636,19804.680566974144,18767.481868560833,11276.28,7517.896363636361,8528.400566974144,7491.201868560833,0,0,1
100092,798.4925454545456,10.411878787878786,10.411878787878786,8497.86,9494.64787878788,8200.798660698969,7744.577795115067,10853.86,1359.21212121212,2653.0613393010317,3109.282204884934,1,0,0
39262,1368.7183636363636,-11.358303030303018,11.358303030303018,13176.06,12040.2296969697,11371.07602562263,12148.013383079233,9188.75,2851.4796969697,2182.3260256226295,2959.263383079233,0,1,0
33028,2737.678181818182,11.741515151515149,11.741515151515149,28026.74,29079.30151515152,29789.839823878054,16847.89519747076,20258.63,8820.67151515152,9531.209823878053,3410.7348025292413,0,0,1
