Customers,Intercept,Coef,ABSCoef,Spend,Unseasoned,Predicted,linear_output,Actual,ABS_diff_unseasoned,ABS_diff_Predicted,ABS_diff_linear_output,Unseasoned_diff,Season_diff,linear_output_diff
54604,448.62036363636366,1.6070303030303046,1.6070303030303046,4558.52,4719.223030303031,4846.225623240497,1841.0479225929012,4475.43,243.79303030303072,370.79562324049675,2634.382077407099,1,0,0
113934,42.24818181818182,2.530181818181818,2.530181818181818,537.76,789.3581818181817,722.0547479933185,-1564.0599061654502,999.82,210.46181818181833,277.7652520066815,2563.8799061654504,1,0,0
62999,275.8354545454545,3.302121212121212,3.302121212121212,3964.4,3237.162121212121,3263.180537061946,943.8167694328731,968.83,2268.332121212121,2294.350537061946,25.013230567126925,0,0,1
70982,809.3514545454544,3.8061212121212096,3.8061212121212096,8349.18,8645.40212121212,8676.435770167505,5027.836017777154,8803.039999999999,157.63787878787844,126.60422983249373,3775.2039822228453,0,1,0
85329,621.9174545454545,4.752121212121215,4.752121212121215,6433.02,6908.232121212121,6536.362898787718,3334.3936753605667,7591.45,683.2178787878793,1055.0871012122816,4257.056324639433,1,0,0
28938,690.6458181818182,6.326484848484848,6.326484848484848,7191.15,7823.798484848485,7768.825174705135,4160.533599468887,5642.419999999999,2181.3784848484856,2126.4051747051362,1481.8864005311125,0,0,1
70099,254.3447272727273,6.350727272727275,6.350727272727275,2829.2300000000005,3464.302727272728,3355.9699264919104,491.2945120688819,1438.4599999999998,2025.8427272727283,1917.5099264919106,947.1654879311179,0,0,1
33031,1247.0847272727274,6.562727272727255,6.562727272727255,12907.85,13422.442727272726,12294.607572241895,8460.36915141414,6173.97,7248.472727272726,6120.637572241895,2286.399151414139,0,0,1
106237,317.58981818181815,6.73715151515152,6.73715151515152,3479.07,4152.785151515152,4358.013928441382,1177.4215972248348,4915.67,762.8848484848477,557.6560715586184,3738.2484027751652,0,1,0
103250,1192.571090909091,6.798424242424257,6.798424242424257,12560.82,12911.48242424243,12110.796677959828,8236.15112506933,4010.79,8900.692424242428,8100.006677959828,4225.361125069329,0,0,1
120737,1012.638181818182,7.460181818181812,7.460181818181812,10549.0,11208.10818181818,9648.509106468751,6370.994082042591,4939.790000000001,6268.318181818178,4708.71910646875,1431.20408204259,0,0,1
33332,1735.8043636363634,9.904363636363632,9.904363636363632,18387.48,18794.17636363636,19804.680566974144,13865.745090410172,11276.28,7517.896363636361,8528.400566974144,2589.465090410171,0,0,1
100092,798.4925454545456,10.411878787878786,10.411878787878786,8497.86,9494.64787878788,8200.798660698969,4899.510866140976,10853.86,1359.21212121212,2653.0613393010317,5954.349133859025,1,0,0
23317,1013.9030909090908,11.731757575757564,11.731757575757564,10725.1,11840.135757575756,11148.458830184194,7054.123732556705,8793.119999999999,3047.0157575757567,2355.338830184195,1738.9962674432936,0,0,1
33028,2737.678181818182,11.741515151515149,11.741515151515149,28026.74,29079.30151515152,29789.839823878054,22068.716702006044,20258.63,8820.67151515152,9531.209823878053,1810.0867020060432,0,0,1
17933,633.621090909091,11.771090909090905,11.771090909090905,6865.910000000001,8043.019090909091,7682.024758774503,3984.987713605762,9265.14,1222.1209090909088,1583.115241225496,5280.152286394237,1,0,0
29003,1532.7141818181815,13.71751515151516,13.71751515151516,15944.43,17316.18151515152,16424.298446003522,11442.818329801717,10950.76,6365.421515151518,5473.538446003522,492.05832980171726,0,0,1
72071,9384.52509090909,14.13575757575743,14.13575757575743,95213.9,95894.93575757572,91007.76293791512,75852.83847296557,91154.31,4740.625757575719,146.54706208487914,15301.471527034431,0,1,0
169921,246.3347272727273,14.302727272727273,14.302727272727273,3106.9700000000003,4537.242727272727,4647.307135498264,1133.868734978183,2576.4400000000005,1960.8027272727268,2070.8671354982635,1442.5712650218175,0,0,1
35406,139.0956363636364,14.326969696969694,14.326969696969694,2055.48,3468.3669696969696,3762.3276892318536,321.7219920131902,3192.67,275.6969696969695,569.6576892318535,2870.94800798681,1,0,0
73658,1887.5550909090907,14.627757575757569,14.627757575757569,19533.800000000003,20996.57575757576,20690.39411873886,14719.129227264522,2609.9400000000005,18386.635757575757,18080.45411873886,12109.189227264522,0,0,1
